BC1_10_C6				
BC1_11_C2				
BC1_12_C4	BC1_12_C8			
BC1_19_C5				
BC1_1_C2				
BC1_20_C6				
BC1_22_C7				
BC1_2_C2				
BC1_4_C3				
BC1_5_C2				
BC1_7_C5				
BC1_8_C4				
BC1_9_C5	BC1_9_C2			
BC2_10_C5				
BC2_11_C5				
BC2_12_C6				
BC2_13_C4				
BC2_14_C2				
BC2_16_C6				
BC2_17_C7				
BC2_18_C7				
BC2_1_C2				
BC2_2_C2				
BC2_3_C7				
BC2_5_C3				
BC2_6_C2				
BC2_7_C4				
BC2_9_C4				
BC3_11_C2				
BC3_12_C4				
BC3_15_C5				
BC3_16_C7				
BC3_17_C3				
BC3_18_C5				
BC3_1_C2				
BC3_20_C7				
BC3_2_C6				
BC3_3_C6	BC3_3_C2			
BC3_4_C2	BC3_4_C8			
BC3_9_C9	BC3_9_C2			
BC4_12_C5				
BC4_14_C5				
BC4_15_C5				
BC4_17_C4				
BC4_19b_C6	BC4_19a_C6			
BC4_21_C1				
BC4_2_C4				
BC4_3_C3				
BC4_4_C6				
BC4_6_C2				
BC4_7_C2				
BC4_9_C2				
CA1_10_C7				
CA1_15_C3				
CA1_16_C6				
CA1_17_C1				
CA1_18_C4				
CA1_19_C6	CA1_19_C3			
CA1_1_C4				
CA1_20_C8	CA1_20_C1	CA1_20_C7		
CA1_21_C1				
CA1_22_C5				
CA1_2_C4				
CA1_4_C5				
CA1_5_C5	CA1_5_C8			
CA1_9_C7				
CA2_10_C8	CA2_10_C3			
CA2_11_C6				
CA2_12_C4				
CA2_3_C9	CA2_3_C1			
CA2_4_C8				
CA2_5_C9				
CA2_8_C3				
CA2_9_C4				
CA3_10_C8				
CA3_11_C9				
CA3_3_C1				
CA3_4_C1	CA3_4_C9			
CA3_5_C8	CA3_5_C1			
CA3_6_C4				
CA3_7_C5				
CA3_9_C9				
CA4_12_C1	CA4_12_C7			
CA4_13_C1				
CA4_14_C8	CA4_14_C1			
CA4_15_C9	CA4_15_C5			
